Gene ID	Gene Name	poly(A)+ Half-life	Total Half-life	Lower limit	Upper limit
YNR023W	SNF12	3.5	4.4	3.6	7.1
YNR024W	MPP6	2.3	3.0	2.8	3.7
YNR026C	SEC12	2.1	4.7	4.2	6.8
YNR027W	BUD17	1.9	4.7	3.5	6.9
YNR028W	CPR8	3.9	5.7	4.4	9.2
YNR030W	ALG12	4.0	10.3	8.5	14.1
YNR032W	PPG1	3.8	3.3	2.9	6.0
YNR033W	ABZ1	6.2	14.0	8.9	23.6
YNR034W	SOL1	10.5	19.0	13.1	33.2
YNR035C	ARC35	13.9	31.3	21.6	46.6
YNR036C	MRPS12	3.6	5.5	4.9	7.4
YNR037C	RSM19	3.2	5.4	4.6	7.2
YNR038W	DBP6	0.9	2.2	2.1	3.0
YNR039C	ZRG17	1.3	3.2	2.9	4.6
YNR041C	COQ2	3.7	9.3	5.9	18.2
YNR043W	MVD1	2.9	15.9	13.1	20.5
YNR045W	PET494	4.2	7.3	6.1	12.1
YNR046W	TRM112	2.6	5.5	5.0	7.7
YNR047W	FPK1	11.6	23.9	16.0	40.7
YNR048W		0.9	2.4	2.3	3.5
YNR049C	MSO1	4.7	5.6	4.7	10.2
YNR050C	LYS9	4.1	27.7	22.5	36.5
YNR051C	BRE5	3.5	4.4	3.4	8.2
YNR053C	NOG2	0.9	1.3	1.4	2.2
YNR054C	ESF2	2.1	4.2	3.9	5.3
YNR055C	HOL1	4.9	15.9	11.3	24.0
YNR059W	MNT4	3.7	4.6	4.0	7.5
YNR060W	FRE4	6.6	9.5	7.6	14.2
YNR061C		2.4	5.4	4.7	7.5
YNR064C		2.2	7.0	5.1	12.5
YNR067C	DSE4	2.2	7.3	5.5	12.0
YNR074C	AIF1	4.4	9.5	7.1	14.5
YNR075W	COS10	2.5	5.2	4.0	9.2
YOL001W	PHO80	4.8	6.7	4.3	11.8
YOL002C	IZH2	2.9	5.3	4.8	7.0
YOL003C	PFA4	2.5	6.8	5.3	9.0
YOL005C	RPB11	4.9	12.4	9.5	16.2
YOL006C	TOP1	2.1	6.8	5.5	10.7
YOL007C	CSI2	2.5	7.1	4.9	14.9
YOL008W	COQ10	3.7	6.7	5.0	9.9
YOL009C	MDM12	4.1	6.0	5.1	9.7
YOL010W	RCL1	1.4	1.9	1.9	2.6
YOL011W	PLB3	2.7	3.8	3.5	5.6
YOL012C	HTZ1	3.3	3.7	3.5	4.9
YOL013C	HRD1	8.1	17.4	11.9	25.3
YOL015W	IRC10	5.3	11.9	7.9	17.0
YOL016C	CMK2	4.3	11.6	9.1	15.8
YOL017W	ESC8	3.6	6.4	5.3	10.1
YOL018C	TLG2	2.2	3.8	3.5	5.4
YOL020W	TAT2	1.0	2.2	2.1	3.2
YOL021C	DIS3	1.8	5.8	4.8	9.4
YOL022C	TSR4	1.9	3.4	3.2	3.9
YOL023W	IFM1	4.4	6.7	5.6	11.4
YOL025W	LAG2	4.1	7.1	5.5	10.9
YOL026C	MIM1	6.9	32.1	18.7	63.2
YOL030W	GAS5	4.3	25.9	17.7	41.5
YOL031C	SIL1	11.2	14.1	6.7	24.3
YOL033W	MSE1	7.1	6.5	5.2	10.2
YOL034W	SMC5	2.5	4.8	3.8	8.6
YOL038W	PRE6	7.4	21.4	16.7	28.1
YOL039W	RPP2A	3.9	16.7	13.3	20.6
YOL040C	RPS15	4.6	21.9	19.6	24.9
YOL041C	NOP12	1.5	2.8	2.6	3.9
YOL042W	NGL1	2.7	4.6	3.9	6.8
YOL043C	NTG2	3.9	7.2	6.2	13.3
YOL044W	PEX15	1.2	2.0	2.0	3.2
YOL045W	PSK2	6.2	20.2	14.1	30.9
YOL048C	RRT8	6.0	5.1	4.2	8.4
YOL049W	GSH2	8.3	24.7	17.4	37.7
YOL051W	GAL11	4.1	12.3	8.1	21.8
YOL052C	SPE2	4.2	9.7	7.9	14.7
YOL053W	AIM39	8.9	9.8	8.1	13.5
YOL054W	PSH1	1.7	2.5	2.4	3.3
YOL055C	THI20	4.4	28.7	17.6	45.9
YOL056W	GPM3	1.1	2.3	2.2	3.5
YOL057W		4.5	35.0	23.1	50.7
YOL058W	ARG1	1.3	3.2	2.9	4.0
YOL059W	GPD2	2.3	4.6	4.1	5.8
YOL060C	MAM3	4.9	12.8	9.5	19.2
YOL061W	PRS5	2.3	6.8	5.8	9.9
YOL062C	APM4	3.7	6.7	5.3	12.6
YOL063C	CRT10	6.8	15.8	10.5	26.7
YOL064C	MET22	2.4	5.5	4.4	8.2
YOL065C	INP54	3.3	6.9	5.9	10.6
YOL066C	RIB2	6.8	11.3	6.7	21.5
YOL069W	NUF2	2.3	6.1	4.9	12.8
YOL070C	NBA1	3.0	9.0	7.3	14.0
YOL071W	EMI5	6.3	12.9	10.0	20.0
